1,34
2,35
3,43
4,25
5,37
6,35
7,40
8,5
9,34
10,44
11,7
12,28
13,34
14,44
15,15
16,31
17,14
18,0
19,9
20,37
21,2
22,33
23,48
24,35
25,40
26,10
27,22
28,26
29,13
30,13
31,18
32,28
33,23
34,49
35,19
36,11
37,10
38,50
39,8
40,17
41,23
42,14
43,13
44,0
45,7
46,8
47,47
48,3
49,47
50,22
51,41
52,20
53,46
54,33
55,9
56,34
57,8
58,34
59,39
60,29
61,0
62,3
63,22
64,26
65,12
66,11
67,27
68,26
69,28
70,43
71,49
72,46
73,3
74,2
75,38
76,2
77,15
78,6
79,45
80,5
81,19
82,14
83,12
84,14
85,29
86,14
87,45
88,49
89,12
90,2
91,0
92,0
93,18
94,2
95,37
96,22
97,34
98,34
99,16
100,0
101,47
102,35
103,17
104,0
105,23
106,29
107,24
108,0
109,15
110,10
111,12
112,4
113,15
114,25
115,34
116,31
117,14
118,23
119,3
120,21
121,8
122,29
123,14
124,28
125,31
126,0
127,31
128,0
129,6
130,23
131,2
132,44
133,10
134,34
135,35
136,50
137,12
138,5
139,2
140,34
141,10
142,49
143,6
144,35
145,5
146,34
147,22
148,1
149,43
150,5
151,15
152,10
153,37
154,44
155,22
156,23
157,16
158,7
159,33
160,25
161,11
162,26
163,2
164,45
165,40
166,50
167,24
168,0
169,9
170,25
171,48
172,13
173,15
174,18
175,9
176,43
177,21
178,50
179,43
180,29
181,50
182,20
183,50
184,26
185,28
186,11
187,34
188,0
189,45
190,25
191,45
192,24
193,24
194,39
195,7
196,46
197,45
198,5
199,16
200,0
201,15
202,0
203,21
204,26
205,6
206,7
207,29
208,49
209,35
210,21
211,49
212,33
213,31
214,32
215,24
216,1
217,13
218,47
219,35
220,35
221,3
222,27
223,48
224,15
225,27
226,9
227,33
228,43
229,18
230,3
231,24
232,46
233,10
234,34
235,17
236,22
237,44
238,50
239,34
240,27
241,33
242,7
243,29
244,9
245,10
246,46
247,46
248,46
249,48
250,34
251,15
252,0
253,10
254,12
255,27
256,2
257,13
258,15
259,37
260,34
261,9
262,45
263,25
264,46
265,28
266,44
267,40
268,19
269,10
270,28
271,16
272,41
273,0
274,8
275,46
276,11
277,19
278,3
279,39
280,17
281,21
282,23
283,15
284,28
285,42
286,18
287,33
288,47
289,24
290,46
291,14
292,46
293,27
294,17
295,42
296,39
297,24
298,4
299,4
300,7
301,24
302,6
303,48
304,12
305,48
306,37
307,4
308,2
309,22
310,10
311,0
312,4
313,19
314,10
315,11
316,26
317,25
318,7
319,7
320,8
321,21
322,15
323,9
324,30
325,31
326,21
327,1
328,25
329,2
330,16
331,11
332,44
333,8
334,16
335,24
336,44
337,11
338,13
339,19
340,49
341,0
342,33
343,34
344,16
345,42
346,48
347,3
348,44
349,3
350,39
351,12
352,21
353,15
354,9
355,3
356,2
357,37
358,46
359,4
360,34
361,28
362,8
363,4
364,15
365,5
366,34
367,8
368,42
369,11
370,17
371,8
372,45
373,7
374,17
375,47
376,33
377,1
378,22
379,29
380,36
381,16
382,7
383,14
384,19
385,13
386,36
387,12
388,36
389,1
390,27
391,21
392,1
393,22
394,24
395,38
396,6
397,13
398,7
399,21
400,36
401,45
402,5
403,14
404,44
405,6
406,13
407,3
408,10
409,12
410,0
411,11
412,6
413,26
414,23
415,30
416,18
417,39
418,23
419,9
420,50
421,22
422,22
423,3
424,2
425,27
426,28
427,16
428,23
429,37
430,24
431,12
432,38
433,48
434,15
435,25
436,7
437,29
438,23
439,37
440,28
441,2
442,9
443,15
444,47
445,12
446,27
447,10
448,46
449,22
450,38
451,2
452,27
453,6
454,15
455,31
456,37
457,20
458,9
459,7
460,1
461,22
462,26
463,48
464,5
465,5
466,26
467,44
468,23
469,21
470,23
471,8
472,43
473,14
474,21
475,0
476,15
477,40
478,30
479,28
480,6
481,14
482,16
483,3
484,17
485,48
486,33
487,31
488,7
489,42
490,17
491,37
492,31
493,18
494,10
495,10
496,43
497,19
498,36
499,35
500,39
501,6
502,4
503,7
504,8
505,1
506,9
507,42
508,38
509,12
510,34
511,49
512,3
513,34
514,19
